HWM_ID,lat,lon,Description,elev_m,vdatum,elev_msl_m
353-ITX-01-017,30.083,-94.0943,Coastal - Wave Runup,3.41376,NAVD88,3.7355901833
353-ITX-01-019,29.9964,-93.9498,Coastal - Stillwater Only,3.59664,NAVD88,3.9002315196
353-ITX-01-020,29.9689,-93.9134,Coastal - Stillwater Only,3.5052,NAVD88,3.8079563095
353-ITX-03-021,29.8785,-94.1604,Coastal - Stillwater Only,2.86512,NAVD88,3.1438501242
353-ITX-03-022,29.8494,-94.135,Coastal - Stillwater Only,3.44424,NAVD88,3.7247959635
353-ITX-03-023,29.7309,-93.8971,Coastal - Stillwater Only,3.9624,NAVD88,4.3134813415
353-ITX-03-024,29.8872,-94.0432,Coastal - Wave Runup,3.56616,NAVD88,3.8554342753
353-ITX-03-025,29.7945,-94.2279,Coastal - Stillwater Only,4.14528,NAVD88,4.4090767169
353-ITX-03-026,29.9434,-94.1302,Coastal - Stillwater Only,2.80416,NAVD88,3.091574968
353-ITX-03-027,29.9965,-94.1065,Coastal - Stillwater Only,2.92608,NAVD88,3.2233033891
353-ITX-03-028,30.0818,-94.0932,Coastal - Stillwater Only,3.53568,NAVD88,3.8575101833
353-ITX-03-029,30.0279,-94.1491,Coastal - Stillwater Only,2.68224,NAVD88,2.976715764
353-ITX-03-030,29.8694,-93.9325,Coastal - Wave Runup,3.90144,NAVD88,4.1599376554
353-ITX-03-031,29.8224,-93.9637,Coastal - Wave Height,3.56616,NAVD88,3.8564702636
353-ITX-01-008,30.0181,-93.8486,Coastal - Stillwater Only,3.10896,NAVD88,3.4151831839
353-ITX-01-009,30.0154,-93.837,Coastal - Stillwater Only,3.99288,NAVD88,4.2988653911
353-ITX-01-010,30.0915,-93.7268,Coastal - Stillwater Only,2.65176,NAVD88,2.9489095688
353-ITX-01-011,30.0773,-93.7448,Coastal - Stillwater Only,2.92608,NAVD88,3.2239420231
353-ITX-01-012,30.0741,-93.7236,Coastal - Stillwater Only,2.83464,NAVD88,3.1318914033
353-ITX-01-013,30.0748,-93.8493,Coastal - Stillwater Only,3.59664,NAVD88,3.9007675144
353-ITX-01-014,30.0507,-93.9184,Coastal - Stillwater Only,3.93192,NAVD88,4.2352754554
353-ITX-01-015,30.0972,-94.0671,Coastal - Stillwater Only,3.29184,NAVD88,3.6124497782
353-ITX-01-018,30.0535,-93.9735,Coastal - Stillwater Only,3.87096,NAVD88,4.1768223672
353-ITX-01-021,30.227,-93.7379,Coastal - Stillwater Only,3.01752,NAVD88,3.2718213096
353-ITX-01-022,30.1564,-93.7077,Coastal - Stillwater Only,2.34696,NAVD88,2.6117574491
353-ITX-01-023,30.1774,-93.7074,Coastal - Stillwater Only,2.52984,NAVD88,2.7897283808
353-ITX-01-024,30.0475,-93.7716,Coastal - Stillwater Only,3.29184,NAVD88,3.5926949213
353-ITX-01-025,30.066,-93.7456,Coastal - Stillwater Only,2.86512,NAVD88,3.1644442443
353-ITX-01-026,30.0452,-93.8139,Coastal - Stillwater Only,3.26136,NAVD88,3.5661952003
353-ITX-01-027,30.0957,-94.0893,Coastal - Stillwater Only,3.32232,NAVD88,3.6462315775
353-ITX-01-028,30.0964,-94.0573,Coastal - Stillwater Only,3.56616,NAVD88,3.8851953811
401-ILA-02-009,30.0817,-92.5062,Coastal - Stillwater Only,1.15824,NAVD88,1.3005828059
401-ILA-02-011,30.1898,-92.5898,Coastal - Stillwater Only,1.0668,NAVD88,1.2093384283
401-ILA-01-006,30.1906,-90.7862,Coastal - Stillwater Only,1.24968,NAVD88,1.5039859886
401-ILA-01-012,30.1735,-90.788,Coastal - Stillwater Only,1.15824,NAVD88,1.4125419056
401-ILA-03-005,30.0006,-91.1932,Coastal - Stillwater Only,1.24968,NAVD88,1.6008695239
401-ILA-03-006,29.957,-91.202,Coastal - Stillwater Only,0.94488,NAVD88,1.3143913957
401-ILA-03-007,29.9008,-91.1861,Coastal - Stillwater Only,0.88392,NAVD88,1.2701623599
401-ILA-03-008,29.8664,-91.1081,Coastal - Stillwater Only,0.88392,NAVD88,1.2477470795
401-ILA-03-012,29.9366,-91.2213,Coastal - Stillwater Only,0.94488,NAVD88,1.3282309982
401-ILA-05-005,30.1032,-93.3361,Coastal - Stillwater Only,2.65176,NAVD88,2.7851648063
401-ILA-05-006,30.114,-93.3417,Coastal - Stillwater Only,2.80416,NAVD88,2.9363151204
401-ILA-05-007,30.0659,-93.3484,Coastal - Stillwater Only,1.70688,NAVD88,1.8442214248
401-ILA-05-013,30.191,-93.268,Coastal - Stillwater Only,1.6764,NAVD88,1.7855629714
401-ILA-05-014,30.1689,-93.2985,Coastal - Stillwater Only,2.80416,NAVD88,2.9215203013
401-ILA-05-015,30.1043,-93.3063,Coastal - Stillwater Only,2.83464,NAVD88,2.9612198956
401-ILA-05-022,30.1296,-92.9077,Coastal - Stillwater Only,1.3716,NAVD88,1.4951372275
401-ILA-05-027,30.2366,-93.23,Coastal - Stillwater Only,2.92608,NAVD88,3.0245211389
401-ILA-05-028,30.2193,-93.2233,Coastal - Stillwater Only,2.56032,NAVD88,2.6563448485
401-ILA-05-029,30.211,-93.2356,Coastal - Stillwater Only,2.83464,NAVD88,2.935239274
401-ILA-05-030,30.2036,-93.2393,Coastal - Stillwater Only,2.80416,NAVD88,2.9059568953
401-ILA-05-008,30.0049,-93.3433,Coastal - Stillwater Only,2.71272,NAVD88,2.8471527778
401-ILA-05-009,29.9907,-93.4092,Coastal - Stillwater Only,2.71272,NAVD88,2.8629300229
401-ILA-05-010,29.8904,-93.402,Coastal - Stillwater Only,2.95656,NAVD88,3.0880001776
401-ILA-05-012,29.7718,-93.456,Coastal - Wave Height,3.84048,NAVD88,3.9690426888
401-ILA-05-016,30.0108,-93.2274,Coastal - Stillwater Only,2.25552,NAVD88,2.3803348233
401-ILA-05-018,29.9382,-93.0797,Coastal - Stillwater Only,1.15824,NAVD88,1.2797996199
401-ILA-05-019,29.8943,-93.0796,Coastal - Stillwater Only,1.85928,NAVD88,1.9808464744
401-ILA-05-020,29.8154,-93.1143,Coastal - Stillwater Only,2.65176,NAVD88,2.7735346437
401-ILA-05-026,29.7648,-93.881,Coastal - Stillwater Only,3.56616,NAVD88,3.9189289874
401-ILA-05-031,30.0093,-93.182,Coastal - Stillwater Only,2.1336,NAVD88,2.2560927008
401-ILA-05-032,29.9886,-93.2663,Coastal - Stillwater Only,2.92608,NAVD88,3.0540990498
401-ILA-05-033,29.8085,-93.1655,Coastal - Stillwater Only,2.7432,NAVD88,2.8659504462
401-ILA-05-034,29.7871,-93.1314,Coastal - Wave Height,3.41376,NAVD88,3.5352846692
401-ILA-05-038,29.744,-92.8778,Coastal - Stillwater Only,2.4384,NAVD88,2.5547854226
401-ILA-05-040,30.0318,-92.7513,Coastal - Stillwater Only,1.00584,NAVD88,1.1346844698
401-ILA-05-041,30.0377,-92.6718,Coastal - Stillwater Only,0.9144,NAVD88,1.0467657334
401-ILA-05-042,30.0224,-92.7688,Coastal - Stillwater Only,0.97536,NAVD88,1.1032330482
401-ILA-05-043,30.0321,-92.7926,Coastal - Stillwater Only,0.70104,NAVD88,0.8280986699
401-ILA-05-044,29.9837,-93.375,Coastal - Stillwater Only,2.86512,NAVD88,3.0059264663
401-ILA-05-045,29.9839,-93.4275,Coastal - Stillwater Only,2.65176,NAVD88,2.8064177066
401-ILA-02-002,30.0617,-91.6086,Coastal - Stillwater Only,1.43256,NAVD88,1.6993579002
401-ILA-02-025,30.0581,-91.6078,Coastal - Stillwater Only,1.58496,NAVD88,1.8536675436
401-ILA-02-026,29.9519,-91.9849,Coastal - Stillwater Only,2.49936,NAVD88,2.6642197866
401-ILA-02-027,29.9675,-91.9781,Coastal - Stillwater Only,1.95072,NAVD88,2.1181913641
401-ILA-02-028,29.9472,-91.984,Coastal - Stillwater Only,2.49936,NAVD88,2.6633210231
401-ILA-02-029,29.949,-91.9886,Coastal - Stillwater Only,2.5908,NAVD88,2.7546339758
401-ILA-02-030,29.9146,-91.9045,Coastal - Stillwater Only,2.56032,NAVD88,2.7257905256
401-ILA-02-032,29.9345,-91.8635,Coastal - Stillwater Only,2.19456,NAVD88,2.370214456
401-ILA-02-034,29.9497,-91.8359,Coastal - Stillwater Only,2.5908,NAVD88,2.77445933
401-ILA-02-035,29.9382,-91.8338,Coastal - Stillwater Only,2.46888,NAVD88,2.6501871072
401-ILA-02-038,29.8265,-91.8081,Coastal - Stillwater Only,2.71272,NAVD88,2.8667556129
401-ILA-02-039,29.9145,-91.6622,Coastal - Stillwater Only,1.55448,NAVD88,1.7848173516
401-ILA-02-040,29.9789,-91.7539,Coastal - Stillwater Only,1.61544,NAVD88,1.8247724214
401-ILA-02-041,30.0111,-91.7433,Coastal - Stillwater Only,1.6764,NAVD88,1.8946467729
401-ILA-02-042,30.0192,-91.6808,Coastal - Stillwater Only,1.3716,NAVD88,1.611521242
401-ILA-02-043,30.0569,-91.74,Riverine - Hurricane,2.16408,NAVD88,2.3870769054
401-ILA-02-044,30.006,-91.817,Coastal - Stillwater Only,1.61544,NAVD88,1.8138647714
401-ILA-02-045,30.0161,-91.7739,Coastal - Stillwater Only,1.524,NAVD88,1.7337247243
401-ILA-01-007,30.2193,-91.3177,Coastal - Stillwater Only,1.79832,NAVD88,2.0941186295
401-ILA-01-018,30.1348,-91.0932,Coastal - Stillwater Only,0.97536,NAVD88,1.2761056064
401-ILA-01-019,30.1034,-91.1984,Coastal - Stillwater Only,1.31064,NAVD88,1.6320432948
401-ILA-01-020,30.3214,-91.0209,Coastal - Stillwater Only,2.98704,NAVD88,3.2576035726
401-ILA-01-021,30.1264,-91.2761,Coastal - Stillwater Only,1.00584,NAVD88,1.3256459797
401-ILA-01-022,30.1502,-91.3278,Coastal - Stillwater Only,1.55448,NAVD88,1.8675901131
401-ILA-04-020,29.6533,-90.1063,Coastal - Stillwater Only,1.58496,NAVD88,1.7377375079
401-ILA-04-022,29.8851,-90.1623,Coastal - Stillwater Only,1.43256,NAVD88,1.5595083417
401-ILA-04-023,30.042,-90.2354,Coastal - Stillwater Only,1.46304,NAVD88,1.5627236126
401-ILA-04-025,30.0214,-90.1432,Coastal - Stillwater Only,1.61544,NAVD88,1.692960214
401-ILA-06-001,29.2377,-89.9923,Coastal - Stillwater Only,1.49352,NAVD88,1.5693473974
401-ILA-06-002,29.2626,-89.9621,Coastal - Stillwater Only,1.49352,NAVD88,1.5532072084
401-ILA-06-004,29.2256,-90.007,Coastal - Stillwater Only,1.43256,NAVD88,1.5145366223
401-ILA-06-005,29.2165,-90.0254,Coastal - Stillwater Only,1.55448,NAVD88,1.6403843226
401-ILA-06-006,29.2037,-90.0398,Coastal - Wave Height,1.85928,NAVD88,1.9479867541
401-ILA-02-010,30.0727,-92.6594,Coastal - Stillwater Only,1.00584,NAVD88,1.1402807201
401-ILA-05-001,30.0733,-92.6607,Coastal - Stillwater Only,1.2192,NAVD88,1.3532226978
401-ILA-05-002,30.0752,-92.6771,Coastal - Stillwater Only,1.15824,NAVD88,1.2918318307
401-ILA-05-003,30.057,-92.7194,Coastal - Stillwater Only,1.00584,NAVD88,1.1368144418
401-ILA-05-004,30.0694,-92.8842,Coastal - Stillwater Only,1.09728,NAVD88,1.2215557887
401-ILA-05-023,30.1376,-92.8864,Coastal - Stillwater Only,1.0668,NAVD88,1.1916388663
401-ILA-02-004,30.2192,-91.9559,Coastal - Stillwater Only,2.4384,NAVD88,2.6319157478
401-ILA-06-008,29.1555,-90.1834,Coastal - Stillwater Only,2.31648,NAVD88,2.3982693893
401-ILA-06-009,29.1254,-90.1969,Coastal - Stillwater Only,2.52984,NAVD88,2.6160269603
401-ILA-06-010,29.1577,-90.1791,Coastal - Stillwater Only,2.4384,NAVD88,2.5210804414
401-ILA-06-011,29.2112,-90.2198,Coastal - Stillwater Only,2.1336,NAVD88,2.1948526983
401-ILA-06-013,29.2359,-90.2104,Coastal - Stillwater Only,2.04216,NAVD88,2.1081342877
401-ILA-06-014,29.2567,-90.2139,Coastal - Stillwater Only,1.76784,NAVD88,1.8374547457
401-ILA-06-016,29.3416,-90.2469,Coastal - Wave Height,1.88976,NAVD88,1.9730357354
401-ILA-06-017,29.5892,-90.3702,Coastal - Stillwater Only,1.34112,NAVD88,1.471149574
401-ILA-06-018,29.5827,-90.3748,Coastal - Stillwater Only,1.34112,NAVD88,1.4698773427
401-ILA-06-019,29.5574,-90.389,Coastal - Stillwater Only,1.31064,NAVD88,1.4353475275
401-ILA-06-020,29.5527,-90.5346,Coastal - Stillwater Only,1.18872,NAVD88,1.3220377239
