HWM_ID,lat,lon,Description,elev_m,vdatum,elev_msl_m
401-ILA-03-004,29.9083,-91.2165,Coastal - Stillwater Only,0.94488,NAVD88,1.3400145682
401-ILA-03-009,29.7679,-91.1653,Coastal - Stillwater Only,0.79248,NAVD88,1.2310181639
401-ILA-03-010,29.764,-91.1758,Coastal - Stillwater Only,2.4384,NAVD88,2.8966852721
401-ILA-03-011,29.9027,-91.2134,Coastal - Stillwater Only,2.95656,NAVD88,3.3517689548
401-ILA-02-036,29.7342,-91.8523,Coastal - Stillwater Only,2.83464,NAVD88,2.9766664393
401-ILA-02-037,29.7143,-91.8769,Coastal - Stillwater Only,3.23088,NAVD88,3.3749353814
401-ILA-03-056,29.6896,-91.0997,Coastal - Stillwater Only,2.22504,NAVD88,2.5936721974
401-ILA-03-057,29.687,-91.1887,Coastal - Stillwater Only,2.04216,NAVD88,2.5032506243
401-ILA-03-058,29.6828,-91.1923,Coastal - Stillwater Only,1.28016,NAVD88,1.7431017062
401-ILA-03-059,29.6954,-91.2104,Coastal - Stillwater Only,2.10312,NAVD88,2.5854448088
401-ILA-03-060,29.6934,-91.2162,Coastal - Stillwater Only,2.07264,NAVD88,2.5579909068
401-ILA-03-061,29.6854,-91.2188,Coastal - Stillwater Only,2.25552,NAVD88,2.7401747246
401-ILA-03-062,29.9021,-91.5135,Coastal - Stillwater Only,2.04216,NAVD88,2.390991147
401-ILA-03-063,29.8795,-91.4544,Coastal - Stillwater Only,1.43256,NAVD88,1.8843393655
401-ILA-03-064,29.7644,-91.394,Coastal - Stillwater Only,2.95656,NAVD88,3.4362293027
401-ILA-03-065,29.7585,-91.4078,Coastal - Stillwater Only,1.46304,NAVD88,1.9043048082
401-ILA-03-066,29.7104,-91.3819,Coastal - Stillwater Only,1.55448,NAVD88,1.9321809845
401-ILA-03-067,29.701,-91.3711,Coastal - Stillwater Only,1.95072,NAVD88,2.3208982823
401-ILA-03-068,29.7622,-91.4193,Coastal - Stillwater Only,1.55448,NAVD88,1.9758766131
401-ILA-08-029,29.7127,-91.8771,Coastal - Stillwater Only,3.10896,NAVD88,3.2530153814
401-ILA-08-030,29.7711,-91.7848,Coastal - Stillwater Only,2.65176,NAVD88,2.7951377809
401-ILA-08-032,29.7882,-91.519,Coastal - Stillwater Only,1.8288,NAVD88,2.1252889109
401-ILA-08-034,29.7867,-91.5173,Coastal - Stillwater Only,2.10312,NAVD88,2.3996089109
401-ILA-08-037,29.8291,-91.5664,Coastal - Stillwater Only,1.92024,NAVD88,2.1877789051
401-ILA-08-038,29.887,-91.5227,Coastal - Stillwater Only,1.34112,NAVD88,1.679564382
401-ILA-08-039,29.89,-91.5246,Coastal - Stillwater Only,1.2192,NAVD88,1.5562098174
401-ILA-08-040,29.8407,-91.4548,Coastal - Stillwater Only,1.6764,NAVD88,2.1047514023
401-ILA-08-042,29.8795,-91.5858,Coastal - Stillwater Only,1.43256,NAVD88,1.7055238517
401-ILA-08-044,29.559,-91.5251,Coastal - Stillwater Only,2.46888,NAVD88,2.5883912839
401-ILA-08-045,29.6017,-91.5247,Coastal - Stillwater Only,1.88976,NAVD88,2.0200861966
401-ILA-08-048,29.7874,-91.4953,Coastal - Stillwater Only,1.55448,NAVD88,1.882574691
401-ILA-08-049,29.7976,-91.4968,Coastal - Stillwater Only,2.04216,NAVD88,2.3735190884
401-ILA-08-050,29.772,-91.4814,Coastal - Stillwater Only,1.61544,NAVD88,1.9482231626
401-ILA-07-001,30.4083,-90.142,Coastal - Stillwater Only,2.01168,NAVD88,2.1411575307
401-ILA-07-002,30.3449,-90.0534,Coastal - Stillwater Only,1.92024,NAVD88,2.0307203979
401-ILA-07-004,30.3657,-90.0959,Coastal - Stillwater Only,2.01168,NAVD88,2.1281029885
401-ILA-07-005,30.3526,-90.0673,Coastal - Stillwater Only,2.04216,NAVD88,2.1548263983
401-ILA-07-006,30.3291,-90.0044,Coastal - Stillwater Only,1.43256,NAVD88,1.5409147771
401-ILA-07-007,30.2651,-89.9565,Coastal - Stillwater Only,1.6764,NAVD88,1.7749182747
401-ILA-07-008,30.2912,-89.9279,Coastal - Stillwater Only,1.40208,NAVD88,1.5062269574
401-ILA-07-009,30.2841,-89.917,Coastal - Stillwater Only,1.49352,NAVD88,1.5956778535
401-ILA-07-012,30.2795,-89.7844,Coastal - Stillwater Only,1.31064,NAVD88,1.4475229012
401-ILA-07-013,30.2611,-89.8033,Coastal - Stillwater Only,1.58496,NAVD88,1.7127077294
401-ILA-07-014,30.2346,-89.8553,Coastal - Stillwater Only,1.55448,NAVD88,1.6336432608
401-ILA-07-016,30.1853,-89.7572,Coastal - Stillwater Only,1.46304,NAVD88,1.6455763785
401-ILA-07-017,30.3943,-90.1203,Coastal - Stillwater Only,1.9812,NAVD88,2.1057765761
401-ILA-07-018,30.4027,-90.1561,Coastal - Stillwater Only,2.01168,NAVD88,2.140021794
401-ILA-07-019,30.3977,-90.1562,Coastal - Stillwater Only,2.01168,NAVD88,2.1390268882
401-ILA-07-021,30.2897,-90.4014,Coastal - Stillwater Only,1.58496,NAVD88,1.8266753567
401-ILA-03-015,29.5853,-90.6774,Coastal - Stillwater Only,1.61544,NAVD88,1.7789734939
401-ILA-03-016,29.5545,-90.6592,Coastal - Stillwater Only,1.8288,NAVD88,1.9807831568
401-ILA-03-020,29.5191,-90.6753,Coastal - Stillwater Only,1.8288,NAVD88,1.9747501088
401-ILA-03-022,29.4822,-90.6983,Coastal - Stillwater Only,1.95072,NAVD88,2.0916903195
401-ILA-03-023,29.4254,-90.702,Coastal - Stillwater Only,2.16408,NAVD88,2.2886150018
401-ILA-03-024,29.3946,-90.712,Coastal - Stillwater Only,2.1336,NAVD88,2.2496339862
401-ILA-03-025,29.3689,-90.7231,Coastal - Stillwater Only,2.10312,NAVD88,2.2142520853
401-ILA-03-026,29.2532,-90.66,Coastal - Stillwater Only,2.31648,NAVD88,2.3876720336
401-ILA-03-027,29.277,-90.644,Coastal - Stillwater Only,2.34696,NAVD88,2.4190706157
401-ILA-03-028,29.3047,-90.648,Coastal - Stillwater Only,2.22504,NAVD88,2.3065512218
401-ILA-03-029,29.3838,-90.6197,Coastal - Stillwater Only,2.10312,NAVD88,2.2025483929
401-ILA-03-030,29.4737,-90.5575,Coastal - Stillwater Only,1.00584,NAVD88,1.1238380412
401-ILA-03-031,29.474,-90.5532,Coastal - Stillwater Only,1.18872,NAVD88,1.3054906028
401-ILA-03-032,29.4804,-90.5517,Coastal - Stillwater Only,1.49352,NAVD88,1.612733596
401-ILA-03-033,29.3857,-90.5882,Coastal - Wave Height,2.4384,NAVD88,2.5345372703
401-ILA-03-034,29.4992,-90.5512,Coastal - Stillwater Only,1.40208,NAVD88,1.5254399856
401-ILA-03-035,29.3985,-90.4884,Coastal - Wave Height,2.37744,NAVD88,2.4679073338
401-ILA-03-037,29.3986,-90.4888,Coastal - Stillwater Only,2.286,NAVD88,2.3764673338
401-ILA-03-040,29.4394,-90.4611,Coastal - Stillwater Only,2.16408,NAVD88,2.2646230147
401-ILA-03-041,29.4905,-90.5198,Coastal - Stillwater Only,1.55448,NAVD88,1.6728049056
401-ILA-03-042,29.5133,-90.596,Coastal - Stillwater Only,1.6764,NAVD88,1.8085983486
401-ILA-03-043,29.5161,-90.5978,Coastal - Stillwater Only,1.6764,NAVD88,1.8098347725
401-ILA-03-044,29.537,-90.7144,Coastal - Stillwater Only,1.43256,NAVD88,1.5903788986
401-ILA-03-045,29.5447,-90.7234,Coastal - Stillwater Only,1.18872,NAVD88,1.3500237288
401-ILA-03-046,29.605,-90.705,Coastal - Stillwater Only,1.18872,NAVD88,1.3614680292
401-ILA-03-048,29.5692,-90.7252,Coastal - Stillwater Only,1.2192,NAVD88,1.3876537679
401-ILA-03-049,29.4282,-90.7644,Coastal - Stillwater Only,1.79832,NAVD88,1.9329346613
401-ILA-03-050,29.4169,-90.776,Coastal - Stillwater Only,1.73736,NAVD88,1.8712783003
401-ILA-03-051,29.334,-90.8483,Coastal - Wave Height,2.10312,NAVD88,2.215832279
401-ILA-03-052,29.336,-90.8424,Coastal - Stillwater Only,1.73736,NAVD88,1.8522880146
401-ILA-03-053,29.6163,-90.9022,Coastal - Stillwater Only,1.15824,NAVD88,1.3882387525
401-ILA-03-054,29.6245,-90.9111,Coastal - Stillwater Only,1.18872,NAVD88,1.4258083524
401-ILA-05-039,30.0435,-92.706,Coastal - Stillwater Only,1.2192,NAVD88,1.3502188174
401-ILA-08-002,29.7939,-92.1449,Coastal - Stillwater Only,2.86512,NAVD88,3.0068483416
401-ILA-08-004,29.935,-92.1494,Coastal - Stillwater Only,2.4384,NAVD88,2.5910805311
401-ILA-08-005,29.8847,-92.1245,Coastal - Stillwater Only,2.62128,NAVD88,2.7708130483
401-ILA-08-006,29.9835,-92.136,Coastal - Stillwater Only,2.52984,NAVD88,2.6877048984
401-ILA-08-007,29.8428,-92.181,Coastal - Stillwater Only,1.64592,NAVD88,1.7900936817
401-ILA-08-008,29.8464,-92.2756,Coastal - Stillwater Only,2.25552,NAVD88,2.3956394334
401-ILA-08-009,29.8316,-92.3061,Coastal - Stillwater Only,1.79832,NAVD88,1.9355861591
401-ILA-08-011,29.6573,-92.3693,Coastal - Wave Height,2.40792,NAVD88,2.5282477782
401-ILA-08-012,29.6468,-92.4342,Coastal - Wave Height,2.37744,NAVD88,2.4952279721
401-ILA-08-015,29.8386,-92.3282,Coastal - Stillwater Only,1.85928,NAVD88,1.9957043478
401-ILA-08-016,29.6308,-92.382,Coastal - Wave Height,2.52984,NAVD88,2.6469236911
401-ILA-08-017,29.9749,-92.1395,Coastal - Stillwater Only,2.46888,NAVD88,2.6256278925
401-ILA-08-018,30.0413,-92.7226,Coastal - Stillwater Only,1.0668,NAVD88,1.1970285343
401-ILA-08-019,30.0713,-92.6571,Coastal - Stillwater Only,1.00584,NAVD88,1.1400675143
401-ILA-08-020,30.1004,-92.5321,Coastal - Stillwater Only,1.09728,NAVD88,1.2390172674
401-ILA-08-021,29.9192,-92.5138,Coastal - Stillwater Only,0.97536,NAVD88,1.1087823598
401-ILA-08-022,29.9782,-92.4621,Coastal - Stillwater Only,0.85344,NAVD88,0.9923784866
401-ILA-08-025,29.8825,-92.0378,Coastal - Stillwater Only,2.37744,NAVD88,2.5298286919
401-ILA-08-026,29.877,-92.1269,Coastal - Stillwater Only,2.7432,NAVD88,2.8921664018
401-ILA-08-027,29.9751,-91.994,Coastal - Stillwater Only,2.68224,NAVD88,2.8493618127
