lon,lat,elev_m,vdatum,Description,HWM_ID,date,elev_msl_m
-73.7824,40.89064,3.10896,NAVD88,Excellent seed line inside steel container on dock,HWM-NY-WES-801,10/30/2012,3.0240343559
-72.5564,41.0122,2.37744,NAVD88,Excellent seed line on side of fence,HWM-NY-SUF-511,10/30/2012,2.3050392438
-72.7501,40.80359,1.9812,NAVD88,Good debris line,HWM-NY-SUF-615,10/30/2012,1.9576642064
-72.7989,40.78509,1.9812,NAVD88,Excellent seed line inside building,HWM-NY-SUF-616,10/30/2012,1.9592301321
-72.8312,40.79636,2.04216,NAVD88,Good seed line inside shed,HWM-NY-SUF-617,10/29/2012,2.0231437323
-72.8311,40.75787,1.88976,NAVD88,Good seed line on back of deck,HWM-NY-SUF-618,10/29/2012,1.8681342186
-72.882,40.74395,1.46304,NAVD88,Good seed line on side of fence,HWM-NY-SUF-619,10/29/2012,1.443309976
-72.9344,40.75282,1.70688,NAVD88,Excellent seed line on park wall,HWM-NY-SUF-620,10/29/2012,1.6926606852
-73.8255,40.61659,3.13944,NAVD88,Good debris line,HWM-NY-QUE-713,10/29/2012,3.0696015804
-73.822,40.60587,3.13944,NAVD88,Excellent wash line on wall inside house,HWM-NY-QUE-714,10/29/2012,3.0692805871
-74.0112,40.57941,3.77952,NAVD88,Excellent wash line on outside of house,HWM-NY-KIN-715,10/29/2012,3.712718221
-73.926,40.877,2.8956,NAVD88,Good debris line on beach,HWM-NY-NEW-802,10/30/2012,2.8956
-73.9119,40.868,2.7432,NAVD88,Excellent seed line on guard booth,HWM-NY-NEW-803,10/30/2012,2.7432
-73.929,40.8428,2.95656,NAVD88,Excellent seed line on side of fence,HWM-NY-BRO-804,10/30/2012,2.9431409549
-73.9322,40.823,3.01752,NAVD88,Good mud line on concrete path,HWM-NY-BRO-805,10/30/2012,2.9873143684
-73.9155,40.7966,3.38328,NAVD88,Fair debris line on side of fence,HWM-NY-NEW-806,10/30/2012,3.3348676472
-73.4633,40.85722,2.95656,NAVD88,Excellent cork line in gage house,HWM-NY-NAS-923,10/30/2012,2.8983227752
-73.4728,40.86783,3.048,NAVD88,Fair debris line on grass,HWM-NY-NAS-924,10/30/2012,2.9874404106
-73.5036,40.87199,3.10896,NAVD88,Excellent seed line on back of house,HWM-NY-NAS-925,10/30/2012,3.041842756
-73.5092,40.88895,2.98704,NAVD88,Good debris line on lawn,HWM-NY-NAS-926,10/30/2012,2.919308627
-73.4877,40.87615,2.8956,NAVD88,Excellent seed line on shed,HWM-NY-NAS-927,10/29/2012,2.8328417629
-73.5167,40.87341,3.048,NAVD88,Excellent seed line on side of fence,HWM-NY-NAS-928,10/30/2012,2.9781279411
-73.546,40.88239,2.92608,NAVD88,Excellent seed line on tree,HWM-NY-NAS-929,10/30/2012,2.8518038731
-73.5433,40.90515,3.048,NAVD88,Good debris line,HWM-NY-NAS-930,10/30/2012,2.9740861874
-73.526,40.91413,2.98704,NAVD88,Good debris line on lawn,HWM-NY-NAS-931,10/30/2012,2.9164581317
-73.5123,40.90336,2.95656,NAVD88,Excellent seed line on back of building,HWM-NY-NAS-932,10/30/2012,2.888194061
-73.5325,40.88625,3.048,NAVD88,Excellent seed line on side of garage,HWM-NY-NAS-933,10/30/2012,2.9758309494
-73.5399,40.91038,2.46888,NAVD88,Good seed line on side of fence,HWM-NY-NAS-934,10/30/2012,2.3955091037
-73.5581,40.91084,3.38328,NAVD88,Excellent seed line on side of fence,HWM-NY-NAS-935,10/30/2012,3.3080584615
-74.2009,39.76567,1.34112,NAVD88,Good seed line on retaining wall behind house on 11th St,HWM-NJ-OCE-302,10/30/2012,1.3389157127
-74.1828,39.79198,2.22504,NAVD88,Fair seed line on foudation of Bayview condo at Vessel St,HWM-NJ-OCE-306,10/30/2012,2.2249892401
-74.1845,39.82832,1.76784,NAVD88,Fair seed line on white fence east of house,HWM-NJ-OCE-309,10/30/2012,1.7669445601
-74.1943,39.83558,1.8288,NAVD88,"Poor debris line on downstream, left bank of culvert in grass area in front of Forked River State Marina",HWM-NJ-OCE-312,10/30/2012,1.8274983315
-74.1269,39.90762,1.61544,NAVD88,Fair seed line on back of flower box wall in the backyard,HWM-NJ-OCE-314,10/30/2012,1.6154440309
-74.5143,40.54136,4.20624,NAVD88,Poor debris line,HWM-NJ-SOM-212,10/29/2012,4.3062400015
-74.1365,39.70794,1.58496,NAVD88,Fair seed line on garage door,HWM-NJ-OCE-319,10/30/2012,1.5759785318
-74.0393,40.41679,3.56616,NAVD88,Poor debris line on fence,HWM-NJ-MON-210,10/30/2012,3.4986579186
-73.7287,40.83497,3.29184,NAVD88,Fair wash line in yard,HWM-NY-NAS-518,10/30/2012,3.176050445
-73.9386,42.07166,2.86512,NAVD88,Good seed line on back of shed behind 145 Lighthouse Drive,HWM-NY-ULS-001,10/30/2012,2.9086820025
-73.9381,42.0712,2.86512,NAVD88,Good seed line on landward side of 146 Lighthouse drive,HWM-NY-ULS-002,10/30/2012,2.9086820025
-73.937,42.07149,2.86512,NAVD88,Good seed line on handrail of U.S. Coast Guard post,HWM-NY-ULS-003,10/30/2012,2.9086820025
-73.9684,41.929,2.83464,NAVD88,Excellent seed line on large front window of 136 Delaware Avenue,HWM-NY-ULS-004,10/30/2012,2.8982445337
-73.9685,41.92898,2.83464,NAVD88,Excellent seed line on siding of South side of 138 Delaware Avenue,HWM-NY-ULS-005,10/30/2012,2.8982445337
-73.9685,41.92904,2.80416,NAVD88,Excellent seed line on west side of 138 Delaware Avenue,HWM-NY-ULS-006,10/30/2012,2.8677645337
-73.9687,41.92899,2.80416,NAVD88,Excellent mud line on south side of 146 Delaware Avenue,HWM-NY-ULS-007,10/30/2012,2.8677645337
-73.9401,41.70667,2.7432,NAVD88,Good seed line on back door of restaurant,HWM-NY-DUT-001,10/30/2012,2.7950128872
-73.94,41.70699,2.7432,NAVD88,Good debris line on grass,HWM-NY-DUT-002,10/30/2012,2.7950128872
-73.9393,41.70874,2.77368,NAVD88,Good seed line on downstream exteriorwall of Children's Museum,HWM-NY-DUT-003,10/30/2012,2.8257282883
-73.9392,41.70865,2.7432,NAVD88,Good seed line on streamward side of outbuilding,HWM-NY-DUT-004,10/30/2012,2.7952482883
-73.9395,41.70853,2.7432,NAVD88,Good seedline on upstream side of green power shed,HWM-NY-DUT-005,10/30/2012,2.7950128872
-74.1101,39.76113,1.61544,NAVD88,Excellent seed line on wall inside store,HWM-NJ-OCE-321,10/30/2012,1.6123239318
-74.0967,40.42259,2.92608,NAVD88,Fair mud and seed line on ouside wall of business,HWM-NJ-MON-211,10/30/2012,2.8689331267
-73.6568,40.82775,3.16992,NAVD88,Fair wash line in recreation park,HWM-NY-NAS-519,10/30/2012,3.0859342094
-74.2381,40.60051,3.71856,NAVD88,Excellent seed line on south face of horizontal wooden support of walkway,HWM-NJ-MID-150,10/29/2012,3.688557596
-74.0593,40.42251,3.56616,NAVD88,Good mud and seed line on residence door,HWM-NJ-MON-212,10/30/2012,3.5016215062
-74.1406,39.92986,1.9812,NAVD88,Good seed line on house,HWM-NJ-OCE-323,10/30/2012,1.9825876078
-74.3169,40.49159,3.87096,NAVD88,Poor debris on access road near dock,HWM-NJ-MID-403,10/29/2012,3.8584646387
-74.1131,40.43239,3.56616,NAVD88,Good seed line on marsh overflow retaining wall,HWM-NJ-MON-213,10/30/2012,3.5123977243
-74.1668,39.9403,2.04216,NAVD88,Poor debris line on southwest corner of insection of Riverside Dr and Hillside Ave,HWM-NJ-OCE-325,10/30/2012,2.0484825315
-74.2766,40.50101,4.14528,NAVD88,Excellent seed and mud line on west side entrance of red brick city building on 2nd St,HWM-NJ-MID-404,10/29/2012,4.1232054515
-74.1362,40.44246,1.58496,NAVD88,"Excellent seed line on upstream, right of wooden walkway bridge",HWM-NJ-MON-214,10/30/2012,1.5355881726
-74.1466,40.4473,1.55448,NAVD88,Fair seed line on wooden fence post,HWM-NJ-MON-215,10/30/2012,1.5075397217
-74.1595,40.4429,3.6576,NAVD88,Excellent seed line on wall inside house,HWM-NJ-MON-216,10/30/2012,3.6129208537
-74.0843,39.9136,1.92024,NAVD88,Excellent seed on inside of window,HWM-NJ-OCE-328,10/30/2012,1.92024
-74.0802,39.92125,1.88976,NAVD88,Excellent seed line on inside of window,HWM-NJ-OCE-330,10/30/2012,1.8550189671
-74.1632,40.44647,3.9624,NAVD88,Excellent seed line on exterior of house near window screen,HWM-NJ-MON-217,10/30/2012,3.9183837021
-73.975,40.34079,2.8956,NAVD88,Good seed and mud line in garage,HWM-NJ-MON-314,10/30/2012,2.8216201752
-73.5037,40.60113,2.4384,NAVD88,Excellent seed line on inside of pump station door,HWM-NY-NAS-224,10/30/2012,2.4384506807
-73.5544,40.58967,2.65176,NAVD88,Excellent seed and mud line on inside of concession stand building,HWM-NY-NAS-225,10/30/2012,2.614156808
-74.13,40.71374,3.53568,NAVD88,Excellent debris line on west face of bus shelter,HWM-NJ-ESS-102,10/30/2012,3.5064193125
-74.0913,40.72596,3.3528,NAVD88,Good debris line on east most concrete block of bench support in first base dugout,HWM-NJ-HUD-103,10/30/2012,3.3149032141
-73.9995,40.31362,2.92608,NAVD88,Good seed and mud line on outside of garage door,HWM-NJ-MON-315,10/30/2012,2.8547274138
-74.0708,39.98831,2.10312,NAVD88,Good seed line on front of house,HWM-NJ-OCE-332,10/30/2012,2.1038009229
-74.0728,39.95885,2.65176,NAVD88,Excellent seed line on front of house,HWM-NJ-OCE-334,10/30/2012,2.6227687255
-74.0294,40.33405,2.95656,NAVD88,Good seed and mud line on fence,HWM-NJ-MON-316,10/30/2012,2.8896014161
-74.0294,40.33379,2.95656,NAVD88,Good seed and mud line inside garage,HWM-NJ-MON-317,10/30/2012,2.8896014161
-74.0517,40.03662,2.1336,NAVD88,Good seed line on garage door,HWM-NJ-OCE-336,10/30/2012,2.0762524043
-74.1308,40.64531,3.53568,NAVD88,Good debris line on northeast face of brick entrance to Dennis P Collins park,HWM-NJ-HUD-104,10/30/2012,3.4862501847
-74.2095,40.44539,4.4196,NAVD88,Good seed line on exterior of northeast corner of house,HWM-NJ-MON-218,10/30/2012,4.3881664251
-74.2234,40.44719,4.08432,NAVD88,Good seed line on tree,HWM-NJ-MON-220,10/30/2012,4.053148829
-74.1102,40.0566,2.1336,NAVD88,Poor debris line on lawn,HWM-NJ-OCE-338,10/30/2012,2.1430043678
-74.257,40.4616,3.99288,NAVD88,Fair debris line 40 ft south of Route 35 and 120 ft northeast of entrance to Viking Marina entrance at southeast end of bridge,HWM-NJ-MID-406,10/29/2012,3.9657172321
-74.2421,40.45268,4.14528,NAVD88,Excellent seed and mud line on upper level exterior door on building on Route 35,HWM-NJ-MID-407,10/29/2012,4.1154875627
-74.2312,40.44453,3.90144,NAVD88,Excellent seed and mud line on inside stairway of business on Route 35,HWM-NJ-MID-408,10/29/2012,3.8705513345
-74.2311,40.44392,3.9624,NAVD88,"Good debris line 100 ft southeast of ""Welcome to Aberdeen Township"" sign and directly behind powerpole JC209ABT",HWM-NJ-MID-409,10/29/2012,3.9315113345
-74.1451,40.01891,2.22504,NAVD88,Poor debris line in parking lot,HWM-NJ-OCE-345,10/30/2012,2.230170664
-74.4455,39.35716,2.22504,NAVD88,Good seed and mud line inside door of restaurant,HWM-NJ-ATL-300,10/29/2012,2.1474029236
-71.0717,41.51623,1.76784,NAVD88,Excellent seed line on building,HWM-MA-BRI-203,10/29/2012,1.6884572377
-71.1917,41.46534,2.56032,NAVD88,Poor debris line on ground,HWM-RI-NEW-208,10/29/2012,2.4566377428
-71.2401,41.61973,3.16992,NAVD88,Fair debris line on pier piling,HWM-RI-NEW-212,10/29/2012,3.1025888796
-71.4171,41.52778,2.56032,NAVD88,Fair debris line on ground,HWM-RI-WAS-224,10/29/2012,2.4748946753
-74.0922,40.05958,2.16408,NAVD88,Good seed line on side of house,HWM-NJ-OCE-347,10/30/2012,2.1716274582
-74.2275,40.44172,3.9624,NAVD88,Good seed line,HWM-NJ-MON-223,10/30/2012,3.9311274173
-74.4999,39.42267,2.25552,NAVD88,Poor debris line on concrete sidewalk,HWM-NJ-ATL-101,10/29/2012,2.2040837136
-74.4648,39.34872,2.34696,NAVD88,Good seed and mud line on residential picket fence,HWM-NJ-ATL-302,10/29/2012,2.2672164433
-73.7905,42.47331,3.10896,NAVD88,Fair debris line across field in park,HWM-NY-ALB-006,10/30/2012,3.1312677498
-73.7905,42.47344,3.048,NAVD88,Poor debris line along field in park,HWM-NY-ALB-007,10/30/2012,3.0703077498
-73.7573,42.52867,3.048,NAVD88,Good seed line on steel post,HWM-NY-COL-001,10/30/2012,3.0699352227
-73.7579,42.52869,3.07848,NAVD88,Fair seed and mud line on small shed,HWM-NY-COL-003,10/30/2012,3.1007877498
-73.7586,42.52892,3.01752,NAVD88,Poor debris line on grass,HWM-NY-COL-004,10/30/2012,3.0398277498
-73.7924,42.34817,2.92608,NAVD88,Good seed line on white vinyl fence on Franklin St,HWM-NY-GRE-001,10/30/2012,2.9483877498
-73.7925,42.34814,2.95656,NAVD88,Good seed and mud line on sliding glass door on Franklin St,HWM-NY-GRE-002,10/30/2012,2.9788677498
-73.7926,42.34786,2.80416,NAVD88,Good debris line on lawn,HWM-NY-GRE-003,10/30/2012,2.8264677498
-74.104,40.66852,3.87096,NAVD88,Fair debris line on ground at north end of shopping center,HWM-NJ-HUD-107,10/30/2012,3.8156243591
-74.0408,40.87887,2.49936,NAVD88,Good seed line on east side of Pepboy building loading dock,HWM-NJ-BER-413,10/30/2012,2.4918875538
-74.0374,40.89284,2.49936,NAVD88,Fair debris line on Johnson Park parking lot,HWM-NJ-BER-414,10/30/2012,2.4944982619
-73.4588,40.6538,2.40792,NAVD88,Excellent seed line on outside of shed,HWM-NY-NAS-416,10/29/2012,2.4174405614
-73.413,40.663,2.286,NAVD88,Good seed line on side of house,HWM-NY-SUF-417,10/29/2012,2.2954098169
-73.2162,40.63213,2.86512,NAVD88,Good wash line inside garage,HWM-NY-SUF-418,10/29/2012,2.7856438223
-73.157,40.644,2.4384,NAVD88,Excellent mud line on outside of house,HWM-NY-SUF-419,10/29/2012,2.4141524189
-73.2031,40.63455,1.28016,NAVD88,Good mud line on fence,HWM-NY-SUF-420,10/29/2012,1.1999134323
-72.4499,40.8798,2.01168,NAVD88,Excellent seed line on side of house,HWM-NY-SUF-421,10/29/2012,1.9758303766
-72.392,40.869,2.40792,NAVD88,Good mud line on door,HWM-NY-SUF-422,10/30/2012,2.3133092493
-72.035,41.0063,1.58496,NAVD88,Excellent wash line on concrete wall,HWM-NY-SUF-424,10/29/2012,1.5063790766
-71.9345,41.07223,1.76784,NAVD88,Poor debris line in grass,HWM-NY-SUF-425,10/29/2012,1.6903373097
