Station ID,Station Name,Owner,Latitude,Longitude,Sensor
MVXA2,"Mendenhall Valley, AK",Marine Exchange of AK,58.364,-134.606,AirtemperatureBarometricpressureWinds
MXXA2,"MXAK Office, AK",Marine Exchange of AK,58.301,-134.425,AirtemperatureWinds
NBBA3,Lake Mead - North Boulder Basin,NPS-Lake Mead NRA,36.087,-114.728,AirtemperatureBarometricpressureWatertemperatureWavesWinds
NKLA2,Nikolski White Alice,Marine Exchange of AK,52.972,-168.855,AirtemperatureBarometricpressureWinds
NKXA2,"Naked Island, AK",Marine Exchange of AK,58.255,-134.945,AirtemperatureBarometricpressureWinds
NLMA3,Lake Mohave - North,NPS-Lake Mead NRA,35.458,-114.666,AirtemperatureBarometricpressureWatertemperatureWavesWinds
NWPO3,"Newport, OR",NDBC,44.613,-124.067,AirtemperatureBarometricpressureWinds
OTNM4,"Ontonagon, MI",NWS Central Region,46.87,-89.33,AirtemperatureBarometricpressureWinds
PBPA2,"Point Bishop, AK",NWS Alaska Region,58.203,-134.148,AirtemperatureBarometricpressureWinds
PCLM4,"Portage Canal, MI",NWS Central Region,47.276,-88.528,AirtemperatureBarometricpressureWinds
PGXA2,Point Gardner,Marine Exchange of AK,57.016,-134.618,AirtemperatureBarometricpressureWinds
PILA2,"Pilot Rock, AK",NDBC,59.742,-149.47,AirtemperatureBarometricpressureWinds
PILM4,"Passage Island, MI",NDBC,48.223,-88.366,AirtemperatureBarometricpressureWinds
PNGW3,"Port Wing, WI",NWS Central Region,46.792,-91.386,AirtemperatureBarometricpressureWinds
POTA2,"Potato Point, AK",NDBC,61.06,-146.7,AirtemperatureBarometricpressureWinds
PRTA2,"Point Retreat, AK",NWS Alaska Region,58.411,-134.955,AirtemperatureBarometricpressureWinds
PTAC1,"Point Arena, CA",NDBC,38.955,-123.741,AirtemperatureBarometricpressureWinds
PTGC1,"Point Arguello, CA",NDBC,34.577,-120.648,AirtemperatureBarometricpressureWinds
PTLA2,"Portland Island, AK",Marine Exchange of AK,58.346,-134.752,AirtemperatureBarometricpressureWinds
RIXA2,"Rocky Island, AK",Marine Exchange of AK,58.177,-135.052,AirtemperatureBarometricpressureWinds
ROAM4,"Rock of Ages, MI",NDBC,47.867,-89.313,AirtemperatureBarometricpressureWinds
SBBN2,Lake Mead - South Boulder Basin,NPS-Lake Mead NRA,36.05,-114.748,AirtemperatureBarometricpressureWatertemperatureWavesWinds
SCXA2,"Scull Island, AK",Marine Exchange of AK,58.205,-134.646,AirtemperatureBarometricpressureWinds
SDIA2,"South Douglas, AK",NWS Alaska Region,58.277,-134.389,AirtemperatureBarometricpressureWinds
SHXA2,"Sitka Harbor, AK",Marine Exchange of AK,57.055,-135.349,AirtemperatureBarometricpressureWinds
SISA2,"Sisters Island, AK",NWS Alaska Region,58.177,-135.259,AirtemperatureBarometricpressureWinds
SISW1,"Smith Island, WA",NDBC,48.321,-122.831,AirtemperatureBarometricpressureWinds
SKXA2,"Skagway MXAK, AK",Marine Exchange of AK,59.448,-135.326,AirtemperatureBarometricpressureWinds
SLMN2,Lake Mohave - South,NPS-Lake Mead NRA,35.389,-114.621,AirtemperatureBarometricpressureWatertemperatureWavesWinds
SLVM5,"Silver Bay, MN",NWS Central Region,47.278,-91.27,AirtemperatureBarometricpressureWinds
SLXA2,"Salmon Landing, AK",Marine Exchange of AK,55.34,-131.644,AirtemperatureBarometricpressureWinds
STDM4,"Stannard Rock, MI",NDBC,47.184,-87.225,AirtemperatureBarometricpressureWinds
STXA2,"Sitka AML, AK",Marine Exchange of AK,57.116,-135.391,AirtemperatureBarometricpressureWinds
SXHW3,"Saxon Harbor, WI",NWS Central Region,46.563,-90.437,AirtemperatureBarometricpressureWinds
TIBC1,"Tiburon Pier, San Francisco Bay, CA",CeNCOOS,37.892,-122.447,AirtemperatureBarometricpressureSalinityWatertemperatureWinds
TKEA2,"Tenakee Springs, AK",Marine Exchange of AK,57.779,-135.219,AirtemperatureBarometricpressureWinds
TTIW1,"Tatoosh Island, WA",NDBC,48.392,-124.735,AirtemperatureBarometricpressureWinds
VBBA3,Lake Mead - Virgin Basin,NPS-Lake Mead NRA,36.132,-114.412,AirtemperatureBarometricpressureWatertemperatureWavesWinds
WFPM4,"Whitefish Point, MI",NWS Central Region,46.76,-84.97,AirtemperatureBarometricpressureWinds
WPOW1,"West Point, WA",NDBC,47.662,-122.436,AirtemperatureBarometricpressureWinds
